event_id,start_date,end_date,event_name,event_type,thread_implication
move-in-orientation,2026-08-21,2026-08-23,Move-in and orientation,orientation,Document upload immunization forms portal setup family boundary setup.
fall-classes-begin,2026-08-24,2026-08-24,Fall classes begin,academic,Week 1 anchor for demo calendar.
labor-day,2026-09-07,2026-09-07,Labor Day no classes,holiday,Early routine disruption; dining and clinic hours may differ.
week-5,2026-09-21,2026-09-27,Week 5,academic,Club sports and first exams increase injury sleep and planning risk.
week-7-demo,2026-10-05,2026-10-11,Week 7 current demo window,academic,Health refill meals parent pressure and lab constraints converge.
week-8-midterms,2026-10-12,2026-10-18,Week 8 midterm cluster,academic,BIO practical CHEM midterm writing draft calculus quiz and design studio crit pressure.
registration-opens,2026-11-02,2026-11-02,Spring registration opens for first-years,admin,Holds advising immunization compliance and account balance issues can block registration.
thanksgiving-break,2026-11-25,2026-11-29,Thanksgiving break,break,Travel medication supply diabetes supplies food safety and parent boundaries matter.
last-week-fall,2026-12-07,2026-12-11,Last week of fall classes,academic,Project deadlines and attendance issues peak before finals.
fall-finals,2026-12-14,2026-12-18,Fall finals week,exam,Sleep accommodations dining hours refill timing and parent pressure increase.
winter-break,2026-12-19,2027-01-10,Winter break,break,Records refills supplies and travel planning should be handled before departure.
spring-classes-begin,2027-01-11,2027-01-11,Spring classes begin,academic,Second-semester routines restart; accommodations and dining plans should be active.
spring-break,2027-03-15,2027-03-21,Spring break,break,Medication supplies travel and parent-boundary planning.
spring-finals,2027-05-03,2027-05-07,Spring finals week,exam,End-of-year storage refills housing and academic support planning.
