building_id,name,zone,primary_use,standard_access,student_relevance,thread_notes
hawthorne-hall,Hawthorne Hall,West Residential,First-year residence hall,Front desk daily 08:00-23:00,Alex Rivera residence room 318,Home base for Alex; route roommate or RA help only with consent.
maple-hall,Maple Hall,West Residential,First-year residence hall,Front desk daily 08:00-24:00,Maya Thompson residence room 204,Home base for Maya; private diabetes and dining logistics should stay student-controlled.
mason-rec-field,Mason Rec Field,West Residential,Outdoor club sports field,Practice access by club schedule,Alex club soccer practice,Useful for injury and recovery decisions; field-edge lighting is weaker after practice.
darwin-hall,Darwin Hall,Central Academic,Biology lecture labs and faculty offices,Academic building open 07:00-22:00,Alex biology lecture and lab,Use for BIO 111 messages practical planning and office-hours routing.
kepler-chemistry,Kepler Chemistry,STEM East,Chemistry lecture and lab building,Academic building open 07:00-22:00,Alex chemistry lecture and lab,Lab attendance is high-friction; safety and care routing come before lab optimization.
edison-engineering,Edison Engineering,STEM East,Engineering classrooms and project bays,Academic building open 07:00-23:00,Maya engineering classes,Studio work can run late and disrupt meals supplies and sleep.
foundry-design-studio,Foundry Design Studio,STEM East,First-year design studio and shop space,Badge access during supervised hours,Maya design studio,Do not encourage shop work if student is ill impaired or unsafe.
turing-math,Turing Math Hall,Central Academic,Math and quantitative courses,Academic building open 07:00-21:00,Maya Calculus II,Use for quiz planning and professor or TA messages.
reid-writing-center,Reid Writing Center,Central Academic,Writing support and tutoring,Appointments and drop-in hours,Alex writing seminar support,Good for draft triage after care and sleep needs are handled.
carver-library,Carver Library,Central Academic,Library study rooms work-study,Open until midnight Sunday-Thursday,Alex work-study and quiet study,Draft shift coverage if illness affects work; late study should not override care.
west-commons,West Commons,Central Academic,Primary first-year dining hall,Meal periods plus limited grab-and-go,Alex post-lab food fallback and Maya Safe Plate access,Dining route should consider schedule migraine stimulant tolerance diabetes celiac and allergy risk.
north-market,North Market,West Residential,Smaller dining venue with later dinner,Later dinner hours near Maple and Edison,Maya late studio fallback,Better packaged options but less cross-contact certainty.
corner-market,Corner Market,Campus Corner,Packaged snacks and convenience food,Campus Corner retail hours,After clinic or pharmacy errands,Good quick food fallback but may use dining dollars and raise cost concerns.
east-campus-clinic,East Campus Clinic,East Services,Northview Student Health clinic,Weekdays 08:00-17:00,Daytime illness and student health,Not an emergency department; after-hours routing may require urgent care or emergency care.
counseling-center,Counseling Center,East Services,Counseling and crisis triage,Weekdays plus after-hours crisis line,Private support option,Counseling interest is private; do not disclose without student consent.
student-support-center,Student Support Center,East Services,Disability Access Services and academic support,Weekdays 08:30-17:00,Accommodation and dining support,Use for ADHD continuity celiac dining diabetes support and temporary injury requests.
campus-safety-desk,Campus Safety Desk,East Services,Safety dispatch SafeWalk and ride coordination,24/7,After-hours ride and safety routing,Use for practical routing; do not overshare private health details.
shuttle-stop-e,Shuttle Stop E,East Services,East services shuttle stop,Route-dependent,Connector to Riverbend route,Needed when urgent care is not walkable.
campus-corner-pharmacy,Campus Corner Pharmacy,Campus Corner,Preferred student pharmacy,Mon-Fri 09:00-18:30 Sat 10:00-14:00,Alex and Maya preferred pharmacy,Refills may require ID insurance prescriber approval and timing checks.
riverbend-urgent-care,Riverbend Urgent Care,Off Campus,Urgent care partner in synthetic demo,Evening and weekend urgent care hours,After-hours care option,Not walkable from campus; route by shuttle ride coordination rideshare or emergency care depending on severity.
