contact_id,office_or_role,location,synthetic_channel,hours,handles,agent_draft_use,share_boundary
student-health,Northview Student Health,East Campus Clinic,MyNorthview Health portal or demo ext 555-0180,Mon-Fri 08:00-17:00,Illness injury immunizations health intake,Clinic prep or portal message,Share health details only with student consent or care workflow.
campus-pharmacy,Campus Corner Pharmacy,Campus Corner Shops,demo ext 555-0142,Mon-Fri 09:00-18:30 Sat 10:00-14:00,Prescription fill status insurance refills,Refill status message,Medication details are private and student-controlled.
counseling,Counseling Center,East Services,demo ext 555-0124,Mon-Fri business hours plus crisis handoff,Brief consults counseling referral crisis triage,Support option message,Counseling interest is private by default.
student-support,Student Support Center,East Services,MyNorthview Access or demo ext 555-0166,Mon-Fri 08:30-17:00,Disability Access Services accommodations academic coaching,Accommodation process message,Share minimum necessary documentation.
dining-access,Dining Access Office,Student Support Center,dining-access demo queue,Mon-Fri 09:00-16:00,Dietary accommodations allergy/celiac process cross-contact logs,Dining accommodation message,Medical diet details only with student approval.
campus-safety,Campus Safety Desk,East Services,demo ext 555-0000,24/7,SafeWalk late ride safety dispatch emergency handoff,Ride or escort request,Use logistics-only unless emergency requires more.
residence-life,Campus Life Duty Phone,Hawthorne and Maple desks,demo ext 555-0199,After-hours duty rotation,RA on-call hall issue lockout urgent residence support,RA or duty phone logistics note,Do not disclose private health by default.
carver-supervisor,Carver Library Circulation Supervisor,Carver Library,WorkLink message Theo Grant,Library shift hours,Work-study shift coverage and desk scheduling,Shift coverage note,Work logistics only.
chem-ta,CHEM 101 Lab TA,Kepler Chemistry,Canvas message Ren Ortiz,Course hours and office hours,Lab attendance makeup safety constraints,Lab absence or makeup question,Academic logistics only unless student chooses otherwise.
bio-professor,BIO 111 Professor,Darwin Hall,Canvas/email Prof Elena Cho,Office hours Wed 14:00-15:00,Lecture practical priorities biology lab guidance,Office-hours or priority question,Avoid private medical details.
engineering-studio,Design Studio Coordinator,Edison Engineering,Canvas studio channel,Studio schedule,Studio attendance project handoff shop safety,Studio logistics note,Avoid medical details to teammates by default.
financial-services,Student Financial Services,Founders Hall,MyNorthview Billing or demo ext 555-0170,Mon-Fri 09:00-16:30,Bills lab fees authorized payer payment plans,Payment logistics message,Payer access is billing-only.
