policy_id,title,owner,applies_to,key_rule,thread_use,privacy_boundary
student-owned-records,Student-Owned Records Model,THREAD demo product,All THREAD users,Student owns THREAD memory; payer status does not grant access,Use when parents ask for access or student wants boundary language,Do not share memory without explicit student action.
authorized-payer,Authorized Payer Access,Student Financial Services,Billing accounts,Authorized payer can pay bills but cannot see health counseling academic details or THREAD memory,Explain parent payment boundary,Separate payment requests from private details.
lab-absence,Laboratory Absence and Safety Norm,Academic departments,Lab courses,Students should contact TA before lab when illness or safety affects attendance; makeup depends on section and safety rules,Draft concise TA messages and prioritize safety,Academic messages should not include private medical detail by default.
clinic-hours,Student Health Clinic Scope,Northview Student Health,Students,East Campus Clinic handles student health during business hours but is not emergency care,Route daytime care and after-hours alternatives,Do not imply clinic will notify parents.
after-hours-care,After-Hours Care Routing,Northview Student Health and Campus Safety,Students,Use nurse advice line urgent care ride coordination or emergency services depending on severity and timing,Guide after-hours routing without diagnosing,Only share necessary logistics with ride/safety services.
medication-continuity,Medication Continuity Documentation,Northview Student Health and pharmacy,Students with ongoing medication,Refills may require outside records prescriber authorization insurance ID and timing rules,Help prepare messages and documents,Do not advise dose changes or guarantee fill.
immunization-compliance,First-Year Immunization Compliance,Student Health,First-year students,MMR meningococcal ACWY Tdap varicella TB risk screen and insurance/waiver status may be required,Use for form and registration-hold support,Do not overuse immunization data in unrelated care.
dining-accommodation,Dining Accommodation Process,Dining Access and Student Support,Students with medical dietary needs,Medically necessary dining support routes through documentation and Dining Access meeting,Maya celiac/allergy/diabetes meal support; Alex if meal issue becomes health-linked,Share only student-approved health summary.
disability-access,Disability and Access Services,Student Support Center,Students requesting accommodations,Documentation review required; accommodation approval is not guaranteed,Prepare packets and messages,Do not disclose diagnoses beyond student-approved need.
counseling-privacy,Counseling Privacy,Counseling Center,Students,Counseling interest and records are private except safety workflows,Offer support without unwanted disclosure,Do not include counseling in parent or academic notes by default.
residence-life-disclosure,Residence Life Disclosure Boundary,Campus Life,Residential students,RA and hall staff can help with logistics but do not need private medical detail by default,Draft RA or roommate logistics messages,Keep medication diagnosis CGM counseling and parent conflict out unless approved.
work-study-coverage,Work-Study Shift Coverage,Student Employment,Student workers,Students should notify supervisors early when illness affects a scheduled shift,Draft coverage notes,Use work logistics only not medical detail.
